The function `parse_nested_parens` is called with ( paren_string = "(()()) ((())) () ((())()())" ).
Inside the function, a variable `depth` is initialized to 0.

Iteration 1:
    -The character '(' is in s, so depth becomes 1.
    -The character '(' is in s, so depth becomes 2.
    -The character ')' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character '(' is in s, so depth becomes 2.
    -The character ')' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character '(' is in s, so depth becomes 2.
    -The character ')' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character '(' is in s, so depth becomes 2.
    -The character ')' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character '(' is in s, so depth becomes 2.
    -The character ')' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so depth becomes 1.
    -The character ')' is in s, so depth becomes 0.
    -The character '(' is in s, so
