The function `parse_nested_parens` is called with ( paren_string = "(()()) ((())) () ((())()())" ).
Inside the function, a variable `depth` and `max_depth` are initialized to 0.

Iteration 1:
    -The character '(' is not in vowels,so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 1.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character ')' is not in vowels, so depth becomes 0.
    -The character '(' is not in vowels, so depth becomes 
